owner,old_balance,new_allocation
FnA2sCc56kLNCzVqcHNPZH9jidBwS5dLJhXf7w19PPto,9705602140526,325261776430
7p1fZR28Uf2yhSroNPAJTHcKYDpRsgyFQgFYP3hzqXM,9269170973473,310635751725
8ksRjrJPriAqToLRac1zuTDwYFqKfxSD54fAtGmdLJsG,8868785252018,297217710358
DunmrvbzatTzNAqLxe2XKdPjJcNYfdFpMJNUjb3E65NX,8000344716214,268113847732
Hcs8ZRFBmpTNooHhqEte8pb527FG4M9CPjT73iGVJ6Gg,7956065702354,266629934576
7vviyaDLNsYSA8vMpDeZkK1LnuiFGvyGMpmFw7Wpwxc2,7803911317232,261530817089
DMmAS7LuszY7fcQyZjhR2bB2jsYEXmJDMj1ibtMNFNJK,7332347559529,245727401359
C8Uar4EWeuwb9XjDwHCWqUXWMbjXPgtuKggvAYgUmNve,6998890752117,234552334426
6Jjmar2DWqvtFmDBB75WSi67rXyNYXjbxwYAyVNUmyp9,6659663740632,223183891874
46Nj7QfmN52NDxwcT4SKGBGWc7mdS4voq2ZprnPbADD5,6652457789607,222942400373
2CYZ46hs4W4M296AGyhBpS9z2rM1GjNjjALzDwYr78E7,6534460877220,218987994991
BVn3nzsuQcebWto8jVgP9fm3HDnobYv6mhqJSbcyTXUW,6053333427007,202864073273
Ah2SUfFn7qz2LmZJGzyNK6vxB5wNWW7t6ceepWqxpHmn,6019207468466,201720417296
BxUd4HkPRbAD2VX6TnomUhCbm5qJLh9UySW8v3ccWWHg,6005520361102,201261724183
EunYxAY22LD3qZ3kuuYexM8f7Nbt6rx6RewAkePPotiR,5993265939085,200851044349
4cH6BiiJiHfTuKbrQyEbAvcTnrEKzBZVZVAdNWDMt4Ar,5905192168440,197899446841
55YJiG7qkeGv27wXcggAX8ttY4SsjiKTMxoQAHcjcAk3,5572335042432,186744476903
2XCC4DQHyQuMm6NAr6nBwVdtHopuP3ZLXgrNpZwZE1v1,5433544113863,182093206088
EPQyiJZixUQewMnq3F5xBtXbZegoa2L7MpLewwmxWfXT,5414846220677,181466587578
4D9cF4QUAZDyNY51kcSfVfGEFdZRUpMDCb94GGUsFVfd,5301645269749,177672908231
GGQM7oERXtbrwnfpjX5rX9xtETGNnRVwjV316uAYZQg,5244540550456,175759169941
C4umLvMHnM8ufuTMifRmsk1ML2SPwQAK6WC1BPkKTLgV,5160344983851,172937541859
4GunxHEXTk3exxDux6gHqEFKKkhb34FtwDxaTwJAZtjq,5147903565889,172520595269
j5CdL3yK2yeNoRHon3r5AfueGpKGwe6ct8mVZxfrU6D,5144319752841,172400491706
H8Pn9MtYZ1xPax2FMHsfzJFxyLggpSG9CtMqvWMd4rxv,5126171734244,171792301026
FWdKaXjxRVorEdVXJjgVdGrmHy96eQVnNTtuQwCY61dv,5056804008357,169467595210
EfZykKfYWFLSG68WxReDtFCGwMGdFgksjF3sbdh6FXE6,5000000000000,167563934582
7GB62Rb4wrj6ckVobtwwLp9edwK2byNBBdwJTUTmtLmG,4975124378110,166730283166
MD18eLLnJXbs7FyCQiJy7DbQm3wvWteJ1tJPXPUBnqU,4787874357270,160455013117
FfHxncxiwXatH9D3bQzyGKcVdXr1WTDxL6Cc12QLALSz,4222684253643,141513917607
8wHdS6GUwqBfcRZbvSwLUyfzc4rCHiRzgNgCrUEZgdmu,4188614705112,140372152087
GXR56QtwrG1b9RLmMcUdjqAG4Z1mrH7ZNHNgGKfW4M3g,4106145888907,137608392222
4d3mkUvjKx1PHtUqHUSpiqwGCG8qsZTWsM7C8N353Yzb,4001497294972,134101326193
ACS8x4HJZ4gJK8ghRkt96wZuAcBwE21QhBQhMA8bXpCe,3795953250199,127212972418
DusQdLGngLFZf5KdCAnaH8H6U9phxcAa6671HaFcbRVe,3708099576834,124268750983
FGHGRrGDj53kJbwiYCUFn8mTjRHaZrKJvvCQfXs4N6GZ,3673318304358,123103133610
AqYBHTj7QdxnJnZpQnPaWY9bJH3zRH7W1EQbBGieG14A,3605634191099,120834850344
JDEBpDmfzbN4p4KXqXGewKPTgRW28KoZp7nrkhsm4uZV,3600470089399,120661786904
GeTRdFW5rXDPXTGhjKqcbQQgb18P3fR6ztVvfUKDmUM,3521607047398,118018866582
3EHtybeLt2uvgHhhj5pr1WjD3SA4xqqKxe4TDCdCCW41,3499999748150,117294745767
FVm3w1MEapajEJBudRix6NX4Rs4PYn5atzZwhurGTBTK,3486988165859,116858691382
eS9797z4co5xmqrqCXMfhLHukVCznyRZ8vLSPGJpuxa,3326774805059,111489495160
C9qdpEJyPEuSVBn6bLaZJgCEvRpJdhcXfhorzVe6KsDC,3275174164807,109760213899
JBsSdSwxXCyHUhRGPxvbVLYKNiFiftcvEjwX9ixGEqhZ,3189170394562,106877987873
8BDT8Jebp6Roda8QsALo7FQiZA5xq26HwS568qsrLFPQ,3113950464296,104357158378
8rvX7Sm4m5jMcEfF7AdsM8uDLS69N7vUGZwWFThEZkHJ,2977312790152,99778049119
GHwRghr1HtafwjczPQL6u2SKEU7u127JAjDFhhMjKXyf,2954839981200,99024922662
4AcWCW4xZUBShmg2V9z9nUWCLADDNJQMLmxrg184icBG,2952515021985,98947006799
5T2Mk1LavN72j6YwdMgg94yFctuZUtGvpa32BSpbaTKp,2925825059322,98052551767
9EcCcykMq3uM3gqshDvAD7Tc8ZdisBAxedfjkK14utfY,2856486972199,95728839228
CBrd9h5JJeBJ4HzRbA6aULGXJ8aztqZKCVbEwU9QTwf4,2838983862339,95142261237
65VY6y2zM835GgWPgemaeToLtDaz9evocYPKHtDLCyPA,2490525419444,83464447691
ARog71U3LPoRbQz39E8q1EyH61s4W9EoLJxR46f6JRGZ,2392271399903,80171681671
H2YfiVJtVpPYrMUDbsBcHTbFoiT3h14fNXyFQKNP7pCj,2370227466925,79432928042
FRK7vHSvZydcppsEKUuyko6BtKFXiY3QvGFq1xYEyBtB,2331819651247,78145775099
6FwhkbnPKnYqFXuWYmM6sXgW1JSwoeEyik2gga47sWca,2329600095216,78071391591
GqvVusiHC9L9JeZxqwXhHvgSUb7hndmL1BGMR6ZYSsZC,2293023437878,76845605867
8w6UfaBoDNsaXZbGHzNdy9nkHgnWfX1oWyu8ccLof3Dc,2176197453667,72930441552
BL8B5XGFBXze7vZq52qSfAdMRfAGjpqcypMyzzabC2C3,2129182922259,71354853579
CzKgDZ9JiQuFtZGJDptb6sRKaVsva7ncrmQ9doYXNJgA,2034542892666,68183202434
13QEKfThtpDMzXod2UArfXHqH9JwBQexGeGPdYkpTei4,2023543948299,67814597155
D3hU5oVHLmVFoiM2613ntK3kAB1ogKfb7E665gwihgfA,1992280405491,66766868706
ByjU9cFSrVUGZquBoSZkNHXtzAdqkbjkDv82oJtrWYnd,1987273755810,66599081923
AzgWspKoVBU5Lbh7v58zdpzaGkyTebGRGSZraqAYx9jC,1965090898519,65855672553
6Ufor8gdsTDsyb6EqdN8BMDvB6gpnyzqkYeheRcqYz5x,1920834074636,64372503045
353j9Sh63jY7QUTCz59ecQfACEYNbRngrFcuFGgcFuk8,1892063945137,63408335825
77mTTLeY7qYFiLKQ6RefNcPWJMPovEVjsN7yUr27jG1C,1800000460841,60323031893
97Ng56DXPzYxscShC9AnfdBXs9FMiF1RgshhBG9wvjPb,1724576485177,57795364268
EfGNSqjuJffKrQMa3yzpTcSaGCAPukfHhPmVBgt36oQY,1689294288595,56612959532
6MDBtRxCMHQkCZ3qQjooHCwyYr6hJzkZym4vySHyRHLR,1685284001242,56478563627
5RBgErjAupEGfJhfdwVBnmLeNfHvW9Vsyvch8fvXwGqt,1685195299474,56475590983
EozgygtWhXRV2g2cxwmPQfZ6n48hkMANhKLsL1MRdTWE,1676347949886,56179091642
FZJ9jbcrjJhwvHv4Fh8CnC4m6CQZoR2MPKDWM1mdDPRN,1671936958753,56031267036
DVFrRsLBe6eNsgBRJLuUM2jTRw8dRaas74RBb7nnZBQK,1644614628229,55115619595
AyaapFWhxGzCXQ9czRSnNxb8xvzKxiG7rA9QUrZNCTkN,1598355729735,53565354987
HStnBK9ukHrjfCoNuAcVTCyyDzecYGp5Vx8VJq6HnWk,1577764869621,52875297879
DcnS6NYEX9jSGPnb82qtPum2sasQ2iLpes1MLj3PAMMB,1572875447835,52711439729
FzZ8NFH8vbsx7UUT6u4wgFjYhqXFbe53wuvoLQec6XvT,1521542225145,50991120375
DHxqSEjDwtungJhtC2Fmf4CVvYASBmBuXzHHMGmuJK9r,1510964107408,50636618169
EtMFi8Zf582Vi2fRoqsmkirertAtjNQ5LKTXSuBCVJ3H,1485105172652,49770013199
6sAQQ53kBzrtF51B3qBAp8FA7wNmCxieqCKAGTbYpfyh,1458056904533,48863550353
EfWHnzvZFH2q3tbhXm1kzDA9KP14wMK69AA4qavGasH5,1450075434860,48596069061
NSn6LWRDEqqgqSfUUPce1SesW9UmWF6xnaZmTFjsY5K,1385925592839,46446229074
4deKzZEWKUAgzByjWngXCPipdAAd5K81nMtkUQLfAsL7,1377005353023,46147286978
ANogbxTxGrmJ5Gp8iTgjjf7EQo7XKJyCrYVFyV1JZ5P6,1362730653151,45668902003
DXJuKX7J1Pm5j1tcvAnCEHTBYEo5jTESWavnYghSg2Je,1359856294141,45572574222
8z96zXTL2ivvDtkm7tm1GzP5mzsnTHPDrESxbii7a7HD,1288943636483,43196093436
HvPLbK2yfDXgsQsuFQ4sX9c9TqHFyYnJzgXKFKbfaE3P,1285613169807,43084480216
9NKMevGxpWPJYtrfBaMq1HEMgXLfqfTKwtRFV7VJVhjF,1281816268105,42957235459
FxNWRa4oRH2uodqnVUbDZj7GhN8BHi8mqr4LPNcPPHZK,1251136808521,41929081267
EbPqVaX3YSt4ioFGzQ5PqKmTfrjNRz4yGdv4VxLBc2fr,1237050221876,41457000490
3oyVSHyKmoHmxyzquXaiQ8wkVmyTwN19PbrQVaRFw3eP,1231694957680,41277530662
7VWHJsTz3kwNzqdhabh1CnVG3QhDLCPvZqBPGeXvuoKi,1225437706733,41067832745
7mHdSocApesTi5MBhuJfRy1pffDSKh1yCQDaKW3oogbY,1210572874114,40569670776
5q1UkRGkG4j8kdHZBJxrrgcxC1FcqqzE41oZmj44LGK5,1204369235310,40361769551
8MCtx1W9JKRQijdTR4FMVPsLmyE7dn9ThELb76GL2sGp,1171156067818,39248703746
2cxahUegrmJ86kRxwd83NJcLnG1CmNTK8UsC3MmbZkom,1157314818814,38784844918
SgdfJutKzVFrCUbpPmXwKMsCntVUHbELEvwDwQnvgZo,1151406707683,38586847648
5c95M7KSw9N4Z5Uznn6LZ17xHyyoviWFhWzaQzXPPVVC,1140315387686,38215146605
4dNDavsnfbzQ4MfCXwwJoRNND3Udo6AVKWevaC2z9CTM,1134177497804,38009448809
HUXrBd1s1ixq2SyA2x3qtnxmboeofZdufe2inTfm6JqU,1133828250753,37997744567
EryE9ojrz6de9Z8HGMCNHm1usznWVxLbdu8vwd7VAKHb,1114954568346,37365234870
8QbRRf4G4WMxy37fih2bKnjoJCwWmG641hmPRZXMETab,1112802144162,37293101137
HcyHEiEK1jF3sh9FfJfxUmPSCbaMB7fMeoWdXoai1smz,1101117094270,36901502550
EHmmyts7huZnZHVBR4cXYmF2aZ57EiQfwokSwtdbFheg,1100000000000,36864065608
5kFw2w8LKnuYDWFspDm1bjbvE5DgapAxUrfh14MCzkvN,1098635273074,36818329805
EhHuvyVKw4Rg1mZKgb5wb9ZVxEqftkdj5pAZLCAum8u2,1070794128874,35885295472
5aE555zSUggv8zXhJhojv5CDbBn9e9J2gRKhG8nJHYas,1067822878872,35785720604
JDTVWdFNcXEYCfwZxX4rW5hBHhvFjPs8WNsyRe2dnofK,1060531754840,35541374718
2jmMyVQbbUqrgZ1T8eHxRUngta6XLmDz94x3G24AM8a5,1057817964778,35450428049
3moej6AQgRNRoteTCo1XRr7zAZiwLZknpGbCZirqmV2E,1048328304432,35132403084
8V3TuqNjuZ4mpSYhnoBxZKqyJi5m1kzT6Qz2rHRn47Yu,1018896095905,34146047752
9KptGs1wHjomgrMTMvYHHKkZZU8cuYjJ6KjeCQUmtcyr,1016947954243,34080760095
BaBT2SeJZLWTkpZVb5Vxk646kTAhXM1HYdtrQRFX3LCE,1006819837525,33741338678
9nnkMTpFGZcGSYQyFsGgVXBBm8bMZfhyGVssnqkzuAJf,1005796042024,33707028437
6264TRC3S9rMKpgM8b9FLQ3xtdNZgfS6deQyuckvqtSg,1000214296108,33519968576
8Ga7Az58wyzaDwoGR7LstoctyRpAkA2LKH8qR5ZdhTAX,1000000862308,33512815814
GjxyBKfVVkFTYccfcDhmub974QjtRqaVV2B2yo4UNaVh,991185103916,33217375182
958nMPMnLKWyFmimPiaJSteGikTZS1ja7Tmstei3RE3i,990727222667,33202030305
CkBMD4qxCNupa3om47oLiz5FRMpQzFjWWeLRBqqu8xW4,976545445949,32726759444
FsakKkP3CHouE9pFrAPNSpme3J6mSKocApTBC7gCMHsj,965650234985,32361630560
FgmdE6RuS3kUxtkY2nkYFuJRym6VtJYnzBVzRJ5QRTyS,949776537065,31829658704
GFfeXucgPaMHz9fma9x5Tsv3uko41bbAYNdCbEyFAAgb,945564873692,31688514127
Br47F8MoU3m6DTBadobsRM77ezQoD4f64xCYHPcEnfR1,903984963629,30295055461
7yu4Swn49dHKqYCwBSQviSWhJELsDdV9iPKMS3MFdFJL,865265616083,28997462217
Dk78NtPXyEkJ1C9UvjStCGxLVdNgU7SQJ66FRViDXX1M,844233699000,28292624062
8S1kVtLQjZrAf3yzCq4NRjWjxg9JFaYeoDe6PkpQUdva,843711473289,28275122823
GjzwSy9h2QtRsy59Tv1u61ZitfG8CRsHufu3BnapDedp,833970890862,27948688759
F9PgyGDz95HvykHyAbyG5NhaeZYmC2QGRk4cTCkrRFHD,816384274230,27359312224
EU4H5zbG7ASbeDQtVBowAvJfwmfuZNbNf7fLP5YyFSrU,816266841913,27355376739
GE7sk1d8E3t15ynKRQF36fD392HFQBck2NVZavHUTnxi,811027189124,27179781372
D2W6RhessAcjsvtVnP3GNxn3e14DzUEU7uMyR1END89o,791700488257,26532089764
9XNG8BnRMMyqiENGbPTAq7PTgHEXsR1b8fZjXG2Gpjxd,776251766008,26014360027
HqQfxzXQzf2583xiX8TUUcR7XD8HUp5R4n2HuyyVtu9G,773027551495,25906307613
DtRcSBnMLLd7pgLqPxpgFg7WcXGY4fANhFFNN55kCrqk,757113243832,25372974812
89SDjUqaXvR1Jhab9BTjSpxnHkHsrTEHiUeEWSG3DHm1,750906581869,25164972272
5TLStLfn5mYGCDy4dWu1X3c3Q2insQWyshgfnkiqpFfF,741796808298,24859678371
nnmMSsLxAnXm1EkzuHKheRSV84KmWXUfdZ6q29CDdmv,724715681745,24287242217
6xHRLpyznxHPD4ypHzdZNjKQCczhFaUfToZpygmJ7q38,723046220573,24231293920
DNH6xPuYaC8qpXRJYSuJmZoUduorDL2LNoLPaTGqBDEP,685470415556,22972023974
37JB9Cjs98uKM575fVSDYiPZgBVDkkXQKtcW3nUZQfE3,685160486516,22961637388
2XZWKFaJww9HcokAvRZTaUFd6RDzZbDPhkdQ7z48mfJF,679464940444,22770763766
HtgbXkmJdbaV2o3FyLB4EMdvU2j9FC62fN8rdgjySHvo,675614742462,22641732901
92nS1cAfNnTphUAup9VnTsn7cwPazeqHFbiuv7NmqwAa,672342275114,22532063400
2wXUSonvkf1pyQs4yjbESKTTfcSvh5uiEo1rZn5aERX3,653801690990,21910716755
4mbSQinFqiKygJgyNisZLBpitBkgYzYMWFuL53k45Q1u,634739871345,21271902055
8LMtwRnbmTULM2s6X7mL1Tim7rHr2JcuNoswqL21tbMY,630167287485,21118662027
odKneiMZBeyyh8Ho1wkdq7VHWVDYe5HJ7meJLFKJpsX,606221869887,20316184349
4zUtCkxVx1q731b9BmJ9gMP2uQXtFTzyQHnxfmghhKZ3,599999999999,20107672149
9cNrgoPPEGGqmP43bTV9gd4Ludiq7zcCufBV8vnpfSTm,596976664213,20006351741
8Rw69gpJQPpkeL5D1ia1kWuGFjpBs5dAAsgy5oNR3cfn,572909788671,19199803670
9uH5sFnPnGpdiR2Rmq8T9CTQX3YeyzyWDpMK4uYEsQzk,556283746511,18642618661
9TAgkXLShkEJxxXTuxTEaranQCR2wYvf1S9khY3cebTx,550396190704,18445310258
CJSjNBXNPe4bkq4tsFuSzsm16NkVRqTF5mUJgC4q3skv,549634491524,18419783596
48J4D8vuw7DYAf24azfeHFFFxTrQUyfzygRunnVXp3xE,548415614664,18378935635
3dxpcWYKofWE7iBGN9cJRscYe7vLcfri1hJkcgqDrfRh,544275523686,18240189649
7kuDuVq7t7SMFSgqCU4WUywhEb5MTYtzZ9QgNCzofvzQ,541901007255,18160612985
4uuZ3AV1NHRKTKsivQL6aparejzuMsy4M3cf5NP4ya6,540661744444,18119081835
Gj7RKfdsdobEuXCtzjo4bK2KmPkcEgTZywHaugtLbUFe,539874159425,18092687666
2quiBf8vNtzi5MBLpdMK7T2tohFDVxxHaikY1zDjpuMy,520896558546,17456695372
2gZcrPrDmkMh9porXwnptw2wRTZD9irDaSW2ggMAcWmB,520838993013,17454766190
EWsZWKxAanv4LKCyaycNMNez4WAdABBG66b7XJQ7siuT,513268067920,17201043391
AeBgCFnkSWMAwv3zjaJPB93hxEBUEVkhEyKVFaxT84pJ,505189379057,16930304012
4P1Xp8n8JBUbXxFQSLKuF2M9wzACM3dbHauKDazWMBYA,500124656830,16760571055
2fhQEUDNyT2eakJyGhFRfHcybZDmqn6FudtmJ8vVYtPM,500000000000,16756393458
6S5yAg77u9KDNDnY3R7MEphNS1ky9GrbkRuQPNbbRoVv,496582754673,16641872043
C2NvijtG7xsQ3e6gVwJZ93CLGqC7FhS9qnDy4Z7VrGFa,486624968727,16308158885
D5kwYv8PKXJztAhCwi6jgMNsNcPkzMULNkC8MdrhffHr,484348236187,16231859232
EVt9623y94G2XQt512rSonZrSUv7A9TRASxWXefXB5mo,478123560472,16023253001
8Pmu33DzJKzgpMvPPNiKJKcDkRu6zXur8LqW2iybHBiy,473568882549,15870613051
EBnazs4snB2ur68xJ139a5k58Suc1Gn54EudWiPgMgwc,472500000000,15834791818
2sZFmWa4EUxNyjtMzE2WDs6zbuZkTeNJvNkg9xTJSZtj,463577953918,15535789188
jF2F3swJFx8hv47yCEyz8nS5821DjNQCVAQFnh6Z2Sp,463561658015,15535243067
B2YymSy7z7f8ezxqGgwaLBMp5XfuMx8XyFidhjXBgVB6,462919932796,15513737067
FMdNL7wDwh1pJqSX7TC6siMW2t8z3CjQwWvciVGten6M,461888482752,15479170301
8Dh2L4YAFgnwZZLJPdAoGPDEtvzT8anxMDqQoccPH6DH,461665841981,15471708988
HBACwqxN5qEoBkbwgh5jD4jwZiYFtPcaZn9ZJ52jmNSq,447004365127,14980362039
9gnajgv7iFkkKYQFkRommqnrPWYEnNjuhzriLuRiHmmb,444604135005,14899923638
9f1FwrwhvgZjLsRniswJcu15cGkpV93M5oG194fdZxwv,443824046006,14873780682
8aua7nphrYeVUS9mrnyc9MmqPTgse6PsYqbdyDLR6dFZ,437988130507,14678202889
HB2sA7t2222AYxVbqWooyjoqkURXnHqk81dN36T7TBLo,429374048270,14389520987
AfnJDLqZ4rgBAqL9pUGJ1brF9XUcMeqMZSgRJ6ved1fe,420560218425,14094144985
BsWExh5FaSroAR927QGVz91Jpm7kocirQxXErJYPVh4P,417834863779,14002810756
2awkYFaR8wLHRr6un8R2RzYoCeWekQykCnBTSqhPqmBk,411100092628,13777109805
JA2W1sBwyFeBNNvyR8VvDPk9JDwao32H3d1sRQhNU7re,408254594026,13681749217
AYihmd8kB47hgLja9qMbkkXnvoMbxwoCgCnxfDyuXEoi,404696513622,13562508026
nEtFHRUikmtss6SPGJsrHRKbDwybDEXSKi546KANdLj,403133860061,13510139151
5SoT28u3p1GBzpN6wBo3FVMhoxGquggirgbBzc5ZiXxw,393353851254,13182383799
HCw36dKSpc21gnTnso23xa5w192FdrkvcLyqkroeqqVC,390894812370,13099974553
HmJ2zzia7uP1gvHDC9cp5KVegdQcXk4RFkrYihDQCRfh,388659047896,13025047855
DTpLnWofZKCzd7ZrgCzZ7BkMQPivVtRAYqhmFiPCPiuT,387463820773,12984992463
6kWFFyjfTzz6Adh6mJR49n1iGYmsWrJNSVNishrZNkn3,386603882414,12956173532
4CwbQrUyiDJD4CAkTujwXE2SZeqLZKqCoj8HiAf8QKRE,383443808928,12850270663
CNYHySUw51LG5kxzwV2cG9bBXHXH1TRnbZXSWVGBSiav,379802316695,12728234109
7jDqhVByCbPsbxRZyNZWThf8H6YtkK6xPzq1xWgXGebB,370044854226,12401234349
EFK1VH3Q3XTFVu5N4btzQzek6L8a2HPB8U6uZUWkHqMf,367425751824,12313460928
DDJJfAi55dqLjwAmCYKPJJFKBzKYWwGvPdUDksdm5Frc,366296501552,12275616604
BmPmZijwtoG5ZA8zt7XNroa7af5sho1aPQLJGSSDjWDp,363298168959,12175134123
BMmi7nD3N2vvq8UFrnD16mPjZKzmfCnCCrjfEJkeXSCW,361380589819,12110870702
J47fMb2Es7G8ccqi3kRwmNDuQ6uqyPCb53oVvzcsTqZK,348438304166,11677138641
GHKQ1H7kQQshjs2fdFS4reKxbMAtpsX4v8haTDjBTR2u,346561775005,11614250919
BojLSppkvcG8CMjXyWZMN5pfz6YxUSCBcvh5UiDTiTCT,341910625619,11458377940
Fg671bwSey74YQLUzYjdyz5C3y5QNXLWcBLhC64J9ffF,341277413169,11437157226
H3AkTebbfKMaJApW7Fu3aDiNn5EVgbqC6TrwN37zSuX8,334869549026,11222411841
EySnok6PrN4gED8UFFSMTrhFJqdFGBCW2qeSNbFbZM8T,333389359987,11172806581
DhKeDht4nGz8ndK6i2bkRUwPyZ67NqhJQjLEeCUPtvBw,326604254248,10945418778
CqXy7bnsJZ88NbnNdetH311pU1bdMwMNmudvtD3sDLri,322230719282,10798849433
G5GDTTtKF79cfxvMHcfReNdxXjrVX84V4uHygbDQEYRN,320298777165,10734104668
57d9LznCP7ZZ9Bds5JRTEDpGaMRe2DDKS8V9YGE6TWkp,318798266306,10683818368
jQRN9uT7rrWqLTkw8YRg32gYWBwZDuaZ6PqYZSCmSH5,314754891900,10548313623
FFknQGo7GFQJXpq4ifvohfP6ExJ1N6qFihtq7HCBnvF5,308053060136,10323716563
DC7aWWdMZW2J96p9fJEqaoz6EC75tfP1BPkWH64J4FkW,304514070210,10205115147
4VWxNTjP9VK6nELybkfHVQQuYwoumUxB2TjnoEc4jUr8,304482720599,10204064535
3pV23y6S8iNtNk2wQaeRzNxC9ozaUiaWMURCtsixG9Va,302411243458,10134643563
24FdQwSSNj3PWZ2h3FdGGrbfdg7WnxuxPWN9kTDoPjjC,288902809646,9681938299
Hm8hLtUtabwMQatQAT7Y8bPK6mcYVDUPyj563Nyk4stV,277009251322,9283352013
Bf3rDHr5ekMj6ra8Mi6q7mgq5JmFymYWxz27aPhm7QkY,274407212050,9196150425
H6vAHwtUwcLvGhAMcqYRL3867TtYwEEyu8jiL7S6QN6c,271990303411,9115153081
4Pj7fefR4R4XxLHNPdfDh9Pmza6VE24WMQfsbL36GRS8,266846247399,8942761428
43ewWum5J5a6isHXVqG6op3EL3teibmw8dFMcac7R5D1,265385964153,8893823267
67JrNpDT8VSGeFavjSm7UqpXGZsjv8TpQCTojpvUGMyf,262197000350,8786952202
EMavSKfkSVdsvbGsEm9F4nqDC3ThWtWW6dbBD8FGxcXC,259439256431,8694532518
BBzKk9UPao8De2JQbhob1wMUGjwAYvZ61WQs7sUuVgev,258774470963,8672253704
6kumV7Y6THJu6ot2rzEPXXaQEKRnGoAV1dF1ze2KHrTL,257531377142,8630594166
AZH9xYhcf1QAENrgGZ4bCgGDCo4HzjBy6f2DVJiW8zc2,257434109385,8627334452
CtkcRdZNE4dYsvwnYxDow7PxfvtccuP7ubPFfm1ktFNX,250000000000,8378196729
EZkatsXs1DHg5TYz1yNRSKU8cxSBEyo3Y1xx6zWSXnmq,250000000000,8378196729
6o3d4xSCgrYPxxkpxyNLAGF5TAwB7rF2XbBPJaDEzCkg,248900031073,8341333704
CW9fEsVDG12ooL9jsC5ZgNw93zMeHBF2ekj8uKjHssgE,244918939894,8207916244
78FhEBc4GC2XAqrL2vvgrYhEq73ELm6GRK1EJg2Ac5HW,240034346689,8044219913
GaQ6dUGmJiix2cGC9vikxvhcZkKePX3TdQPdhaiY2sNx,239104004661,8013041559
9AgSgd2jTbEHgD8zcUiuRC4vubedk6hYvcizapZ67y57,237738261457,7967271698
6E1tiVw4dE6dtztEAGWnrnh9hqVNGvhMfQtKqzVhathh,232006573024,7775186844
6ZfeBwFRyyrU3qK9aytiTQUjB3USBrBExB416H4bk8x6,231587834089,7761153736
C8PjpgCYh4wjejjKMbyc2S18Cppnxu9awcFUh7Q6DeJV,223740446586,7498165911
